Year,CITATION,SampleNo,UNIQUE_ID,SiO2,Al2O3,Fe2O3.T.,MgO,Na2O,CaO,K2O,TiO2,MnO,LOCATION,ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,Type,ROCK TEXTURE,SAMPLE COMMENT
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 79C-106,,58.81411539,18.40441706,5.507687172,3.660878611,4.651116268,7.151716412,1.166279907,0.800192046,0.070016804,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,"PUMICE, HIGH-SR SCORIA"
1990, [4449] BACON C. R. (1990),samp. 852,,58.8,17.4,6.656533349,4.11,4.05,7.01,1.22,0.86,0.1,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,
2012, [16849] WRIGHT H. M. N. (2012),samp. 94C-1897,,58.8,17.6,6.463172012,3.41,4.7,6.75,1.35,0.92,0.09,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,
1986, [4448] BACON C. R. (1986),samp. 1154,,58.7,17.5,6.839894686,3.51,4.14,7.15,1.45,0.94,0.1,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,RIM OF LARGE INCLUSION
1994, [3645] NAKADA S. (1994),samp. 713,,58.5,17.2,5.96,3.35,4.34,6.7,1.05,0.81,0.12,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 81C-669,,58.40584058,18.30183018,6.765003963,3.730373037,4.260426043,6.920692069,1.02010201,0.760076008,0.100010001,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,
1994, [3645] NAKADA S. (1994),samp. 1638,,58.2,18,6.24,3.52,3.95,6.52,1.25,0.76,0.1,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
1994, [3645] NAKADA S. (1994),samp. 1206,19391-1206,58.1,18.2,6.53,3.67,4.19,7.07,1.13,0.74,0.1,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 88C-1548,,58.08004815,17.45410773,7.603843922,3.410572776,4.544086669,6.781021166,1.173638279,1.093389507,0.120373157,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,LAVA
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 81C-591,,57.81156231,18.10362072,7.08801396,3.24064813,4.540908182,6.821364273,1.400280056,1.060212042,0.080016003,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,"IGNIMBRITE, HIGH-SR SCORIA"
