"SiO2","Al2O3","Fe2O3","MgO","Na2O","CaO","K2O"
77.86,12.23,0.79,0.04,3.72,0.47,4.8
76.49,12.58,1,0.04,4.31,0.55,4.85
76.48,12.68,1.02,0.03,4.51,0.5,4.6
76.39,12.38,1.08,0.06,4.26,1.09,4.59
76.93,12.39,1.14,0.06,3.82,0.64,4.74
76.81,12.58,1.13,0.03,3.83,0.51,4.97
77.06,12.48,1.16,0.07,3.67,0.59,4.83
76.91,12.29,1.32,0.13,3.59,0.63,4.94
77.19,12.48,1.19,0.05,3.71,0.47,4.76
77.25,12.49,1.12,0.03,3.58,0.5,4.9
75.86,12.59,1.77,0.04,4.38,0.39,4.81
75.57,12.7,1.81,0.04,4.57,0.38,4.79
76.02,12.38,1.78,0.01,4.77,0.19,4.71
53.53,16.63,8.12,4.67,3.94,7.97,2.7
57.82,17.02,6.4,3.06,4.35,6.47,3.21
45.28,14.17,15.08,7.19,2.36,11.44,0.45
62.5,16.09,4.91,3.52,3.73,6.23,1.93
58.49,17.18,6.33,2.85,4.71,5.96,2.89
44.03,11.97,14.51,10.58,2.71,11.28,1.33
53.34,17.73,8.28,4.18,4.68,7.35,2.1
47.58,15.27,13.9,7.32,2.73,9.42,0.85
47.22,15.51,12.84,8.29,2.44,10.97,0.42
47.01,15.51,11.96,10.33,2.15,10.66,0.43
47.48,14.51,13.38,8.13,2.7,10.15,0.6
77.1,11.78,1.75,0.02,3.45,0.56,5.19
58.73,17.31,6.43,3.81,4.02,6.68,1.7
78.19,11.88,0.69,0.02,4.11,0.44,4.58
45,13.98,15.97,7.58,2.48,10.34,0.58
46.24,15.09,13.59,9.58,2.47,10.22,0.39
58.63,17.38,6.5,3.86,3.91,6.7,1.7
58.03,17.42,6.58,4.3,3.83,6.94,1.59
61.1,16.84,6.14,2.8,3.48,5.76,2.3
60.55,16.57,7.23,1.94,5.2,4.43,2.03
64.24,16.36,5.61,2.75,4.22,3.82,1.75
63.98,16.08,4.89,2.64,3.9,4.89,2.56
55.16,16.38,8.02,4.94,3.66,7.86,2.11
62.48,17.11,5.12,2.43,4.47,5.1,2.17
57.73,17.38,7.9,3.03,4.22,6.58,1.5
58.11,17.23,6.36,4.86,3.7,7.07,1.49
58.06,17.31,6.32,4.84,3.77,7.04,1.47
58.39,17.33,6.2,4.53,3.86,6.97,1.53
60.16,17.2,6.56,2.81,4.21,5.68,2
57.8,17.51,7.07,3.73,3.81,6.98,1.75
59.48,16.93,6.46,3.55,4.16,6.24,1.87
58.25,17.24,6.43,4.63,3.58,6.93,1.74
62.13,17.03,5.56,2.6,4.3,5.14,2.17
49.38,16.91,11.19,7.61,2.95,9.77,0.52
72.46,15.74,2.33,0.73,4.03,0.45,3.6
54.33,16.87,9.06,4.25,2.64,7.26,2.71
52.67,16.94,8.74,6.76,3.18,9.51,1.02
51.31,17.06,9.25,7.4,2.99,9.9,0.79
49,17.68,9.75,8.43,2.63,11.05,0.29
48.79,17.53,9.92,8.52,2.55,11.16,0.3
