"SiO2","Al2O3","Fe2O3","MgO","Na2O","CaO","K2O"
58.04,17.43,6.51,4.11,4.51,6.61,1.1
57.61,17.59,7.07,3.96,4.16,6.91,1.28
57.4,18.24,7.28,3.73,3.95,6.96,1.16
47.26,17.95,11.88,5.59,3.91,9.21,1.35
48.39,17.28,11.8,5.55,3.78,9.07,1.3
47.59,17.07,12.24,5.69,3.86,9.29,1.31
47.65,18.32,9.78,7.15,3.08,11.21,0.73
48.24,17.73,10.64,6.06,3.53,10.32,1
46.91,16.96,12.36,6.01,3.77,9.47,1.44
47.88,16.95,11.9,5.68,3.77,9.61,1.31
49.24,16.7,11.11,5.65,4.05,9.12,1.45
48.65,17.29,11.15,5.62,3.78,9.47,1.32
48.07,17.37,10.07,7.4,3.2,10.99,0.81
48.21,18.32,9.92,6.11,3.55,10.69,0.94
48.34,18.67,9.69,5.95,3.59,10.67,0.92
47.6,18.28,10.44,6.09,3.78,10.45,1.01
47.78,17.63,10.66,6.14,3.65,10.6,1.04
47.04,16.84,12.11,6.07,3.77,9.71,1.43
48.03,17.55,10.41,6.47,3.67,10.41,1.06
55.45,14.21,12.09,2.99,3.39,6.3,2.11
60.1,12.72,10.67,1.15,4.14,5.23,3.35
56.13,14.27,11.39,2.77,3.54,6.09,2.4
55.81,14.37,11.75,2.82,3.43,6.06,2.29
49.94,16.88,10.73,5.56,3.99,8.81,1.48
49.46,17.09,10.9,5.62,4.02,8.87,1.46
47.04,14.5,14.9,7.21,2.56,9.55,0.71
48.18,17.24,11.43,5.89,3.97,9.25,1.34
50.33,16.85,10.44,5.45,4.06,8.85,1.52
46.91,16.37,13.45,5.27,4.21,8.33,1.66
56.82,17.58,7.59,3.91,3.86,7.41,1.4
46.95,16.31,13.35,5.35,4.17,8.47,1.61
48.41,16.57,11.98,5.89,3.49,8.78,1.76
48.22,16.34,11.85,5.78,3.69,9.07,1.76
48.86,16.25,11.64,5.78,3.55,8.78,1.76
54.92,16.42,8.53,4.36,3.91,7.09,2.58
46.36,16.51,9.54,8.88,4.26,9.28,2.03
46.61,16.22,9.57,9.66,4.01,9.88,1.91
0.35,0.15,42.75,1.98,4.61,15.55,0.24
47.24,3.4,13.47,14.26,5.3,15.24,0.22
46.31,16.26,9.63,9.53,3.99,9.97,2.14
0.05,0.21,43.94,2.34,3.31,16.27,0.12
77.17,12.35,0.89,0.39,4.08,0.3,4.69
77.11,12.59,0.87,0.07,3.97,0.42,4.81
77.33,12.64,0.87,0.08,4.04,0.3,4.61
75.92,13.7,0.99,0.17,4.31,0.36,4.4
76.53,12.9,0.97,0.1,4.21,0.37,4.74
75.53,13.66,1.03,0.26,4.17,0.38,4.8
76.19,13.09,0.95,0.11,3.98,0.38,5.12
48.21,15.9,12.78,5.98,3.52,9.36,1.08
75.27,13.14,1.26,0.42,3.85,0.7,5.13
74.65,13.64,1.29,0.26,3.95,0.79,5.16
76.6,12.89,1.21,0.27,3.95,0.06,4.78
76.61,12.76,1.01,0.27,3.79,0.59,4.77
46.47,15.74,9.69,9.85,3.7,9.8,1.85
46.25,14.37,15.64,7.3,2.38,9.55,0.71
75.55,13.27,1.09,0.34,4.01,0.65,4.89
75.43,13.41,1.17,0.33,3.94,0.62,4.88
74.74,12.88,1.9,0.6,3.75,1.24,4.5
74.01,13.21,2.02,0.67,3.84,1.49,4.35
74.36,13.44,1.26,0.14,4.74,0.75,5
52.6,17,8.12,4.61,4.29,8.05,2.75
53.47,16.88,8.02,4.55,3.88,7.93,2.78
53.7,17.14,8.17,4.27,3.39,7.76,2.95
53.71,17.04,8.1,4.77,2.93,8.19,2.74
55.06,17.11,8.19,4.16,2.69,7.39,2.87
53.18,18.07,8.64,3.75,3.53,7.42,2.91
54.11,17.02,8.14,4.03,3.09,7.9,3.12
53.24,17.26,8.6,4.74,2.78,7.81,2.76
58.34,18.14,8.94,5.17,3.16,0.1,3.07
53.34,17.51,7.99,4.39,3.63,7.98,2.11
54.23,16.95,7.94,4.16,4.04,7.57,2.73
52.74,16.54,8.62,5.59,4.58,7.9,1.92
54.06,17.29,8.05,4.8,3.67,8.04,2.02
53.12,16.31,7.88,6.79,3.59,7.13,2.81
54.3,18.43,8.12,3.72,3.06,6.09,3.54
53.57,16.96,7.92,4.14,4.29,7.62,2.96
51.13,13.69,15,3.6,3.08,7.2,1.92
46.19,16.07,9.38,9.75,3.82,10.09,1.81
47.19,16.6,9.64,9.17,4.1,9.19,2.02
46.94,16.86,9.39,9.73,3.46,9.52,1.43
46.45,16.26,9.63,9.48,4.17,9.89,1.97
45.78,16.08,9.84,9.34,3.91,9.6,2.1
47.05,16.25,9.62,8.93,3.86,9.85,2.19
46.41,16.04,9.61,9.05,4.07,9.36,2.2
45.78,16.23,9.82,8.98,4.04,9.44,2.37
51.35,17.49,8.22,6.65,4.25,8.53,1.84
46.58,14.48,15.32,7.13,2.42,9.52,0.82
51.77,17.27,8.1,6.84,4.1,8.5,1.86
46.12,14.68,15.22,7.13,2.37,9.59,0.77
45.91,15.15,13.55,9.22,2.37,10.86,0.42
46.42,15.66,13.6,8.34,2.49,9.95,0.55
46.15,15.16,13.4,9.54,2.22,10.71,0.41
46.19,15.24,13.46,9.01,2.3,10.56,0.48
46.42,15.14,13.93,8.06,2.4,10.08,0.76
46.43,14.56,15.52,7.28,2.55,9.46,0.74
76.88,12.06,1.5,0.06,3.32,0.5,5.49
63.92,16.69,4.96,2.17,4.27,4.59,2.44
46.48,14.48,15.54,7.41,2.6,9.32,0.71
50.9,16.62,8.31,5.88,3.81,10.26,1.97
51.75,17.18,8.22,6.9,3.38,8.63,1.61
76.01,13.21,0.89,0.02,4.49,0.58,4.59
52.42,17.62,7.66,6.62,3.77,8.08,1.91
52.83,17.42,7.68,6.46,3.58,8.21,1.92
50.48,17.54,8.69,7.03,3.69,9.11,1.46
51.05,17.24,8.45,7.14,3.79,8.85,1.5
45.3,16.67,8.9,8.55,2.78,14.21,0.98
45.96,15.7,9.62,10.09,3.67,10.22,1.81
46.03,15.91,9.44,9.87,3.45,10.5,1.86
48.55,15.75,9.14,9.52,3.12,9.75,1.83
48.78,14.64,8.83,10.81,2.84,10.64,1.41
48.24,16.05,9.05,9.05,3.38,9.54,2.13
48.66,16.52,9.18,9.01,3.3,9.11,1.9
48.64,14.88,9.11,10.99,2.9,10.09,1.4
64.38,16.79,4.9,1.88,4.31,4.25,2.51
50.72,17.08,8.69,7.47,3.73,8.88,1.45
51.57,15.84,8.25,7.75,3.81,9.22,1.62
51.6,16.16,8.28,8.56,3.81,7.76,1.75
50.54,15.97,8.39,8.96,3.5,9.2,1.51
50.23,16.39,8.47,8.82,3.56,9.13,1.4
51.13,16.33,8.24,8.51,3.59,8.76,1.49
51.95,16.5,7.8,7.68,3.83,8.69,1.67
51.08,16.05,8.24,8.78,3.72,8.78,1.49
52.95,16.58,7.57,7.06,3.84,8.4,1.78
51.79,16.06,8.38,7.68,3.69,9.5,1.19
54.75,16.55,7.41,6.3,3.75,8.11,1.51
52.14,16.37,7.76,7.97,3.69,8.52,1.69
52.22,16.37,9.42,5.89,3.88,7.93,1.78
52.87,16.23,9.52,5.5,3.91,7.67,1.76
48.09,17.58,10.94,6.28,3.52,9.66,1.18
48.85,16.57,11.13,6.08,4.3,7.78,1.91
63.1,16.75,5.26,2.35,4.14,4.92,2.46
63.81,16.57,5.07,2.08,4.27,4.33,2.75
48.87,16.65,10.93,5.88,4.63,7.65,1.93
48.66,16.56,10.81,6.07,4.51,7.92,1.94
63.07,16.46,5.34,2.36,4.24,4.73,2.65
46.21,14.16,15.63,7.13,2.66,9.43,0.73
48.95,16.94,11.19,5.76,4.5,7.49,1.74
48.69,17.37,11.42,5.59,4.61,7.19,1.75
48.45,17.07,11.15,5.48,4.61,7.67,2.1
70.27,15.27,2.96,0.78,4.95,2.44,2.7
71.04,14.91,2.7,0.69,4.98,2.19,2.9
70.5,15.08,2.8,0.77,5.06,2.4,2.78
46.62,14.69,14.9,7.27,2.66,9.56,0.73
70.92,14.98,2.75,0.77,4.9,2.34,2.76
71.48,14.68,2.53,0.63,5.03,2.15,2.97
70.32,15.16,2.83,0.77,5.39,2.28,2.6
71.77,14.93,2.32,0.53,5.44,1.68,2.81
70.58,15.06,2.77,0.7,5.51,2.22,2.59
70.65,15.17,2.69,0.7,5.41,2.17,2.6
49.39,17.03,11.06,5.75,4.45,7.57,2.05
70.58,15.04,2.81,0.79,5.28,2.31,2.56
70.71,15.34,2.75,0.75,4.85,2.36,2.6
70.76,15.03,2.61,0.84,5.11,2.32,2.71
52.29,9.72,10.58,15.18,2.23,8.54,0.56
53.37,13.74,8.87,10.95,2.98,8.36,0.62
53.97,19.91,8.11,3.39,4.28,7.99,0.7
55.79,19.29,7.34,3.95,3.88,7.86,0.82
57.91,18.47,6.58,3.74,4.25,7,0.99
59.77,17.93,6.06,3.14,4.7,6.17,1.22
59.01,17.51,7.36,2.69,4.52,6.26,1.24
60.93,16.98,6.52,2.25,4.89,5.28,1.52
61.01,16.74,6.66,2.31,5.01,5.25,1.39
53.52,15.52,7.76,9.45,3.58,7.75,1.1
62.86,17.53,4.95,2.1,5.38,4.58,1.52
59.02,17.52,6.15,3.61,4.82,6.13,1.43
74.21,14.28,1.77,0.24,4.75,1.18,3.21
61.07,18.13,5.39,2.9,4.62,5.32,1.42
64.68,17.44,3.99,1.44,5.4,4.32,1.7
65.54,16.86,4.29,1.23,5.47,3.77,1.66
67.67,16.67,3.2,0.88,5.32,3.41,2.1
74.83,13.99,1.44,0.17,4.92,1.07,3.24
74.29,13.58,1.79,0.35,5,1.29,3.37
73.97,14.18,1.74,0.28,5.3,1.19,2.96
72.4,14.28,2.12,0.5,5.56,1.7,2.9
48.85,17.03,11.09,5.67,4.64,7.3,1.99
73.5,14.48,1.89,0.27,5.2,1.29,2.89
73.62,14.18,1.84,0.34,5.25,1.41,2.82
73.87,13.68,2.16,0.46,5.14,1.5,2.74
73.08,14.72,1.7,0.52,4.83,1.78,2.8
75.31,12.19,2.37,0.23,3.91,0.67,4.64
63.53,16.56,5.26,2.17,4.19,4.51,2.68
63.86,16.72,5.03,2.2,4.31,4.51,2.4
63.75,16.73,5.05,2.21,4.25,4.64,2.39
61.21,17.66,5.82,2.64,4.43,5.19,1.95
61.05,17.63,5.79,2.77,4.37,5.28,1.95
62.92,16.78,5.4,2.39,4.14,4.95,2.32
61.2,17.57,5.83,2.64,4.42,5.26,1.96
61.22,17.68,5.77,2.68,4.4,5.2,1.96
62.46,17.73,5.47,2.44,4.44,5.3,1.22
64.23,17.58,4.17,2.05,5.02,4.84,1.27
56.77,17.68,7.67,3.69,3.83,7.53,1.38
57.88,17.76,7.04,3.63,3.89,7.04,1.48
48.28,16.91,11.17,6.05,4.62,8.22,2.01
48.6,17.07,11.24,5.99,4.5,7.8,2.04
50.08,16.09,8.9,9.08,2.92,11.31,0.37
68.13,16.03,3.61,0.72,4.72,2.54,3.42
71.49,14.39,2.79,0.59,4.75,1.67,3.79
72.06,14.6,2.66,0.51,4.82,1.67,3.21
72.29,14.17,2.91,0.34,3.93,1.25,4.54
75.06,13.52,1.55,0.16,3.89,0.92,4.6
75.2,13.35,1.73,0.22,3.62,0.93,4.63
75.61,13.04,1.34,0.08,4.1,0.87,4.67
76.36,12.76,1.36,0.35,3.65,0.89,4.37
67.04,15.88,4.42,1.2,4.55,2.76,3.14
70.8,15.19,3.01,0.99,4.01,2.2,3.17
47.26,13.43,17.22,3.92,3.41,7.23,1.78
51.28,15.69,8.73,9.21,3.22,10.59,0.32
46.63,14.59,15.01,7.32,2.6,9.54,0.65
62.29,16.58,5.8,2.4,4.36,4.7,2.6
50.34,15.06,11.93,8.37,2.83,9.09,0.62
51.87,15.68,10.92,6.32,2.77,9.96,0.66
44.94,12.75,17.56,8.88,2.24,9.02,0.63
62.17,16.67,5.91,2.4,4.36,4.65,2.54
57.37,17.03,6.6,4.99,4.23,7.02,1.57
72.01,14.54,2.47,0.63,5.09,1.83,2.83
72.11,14.91,2.51,0.45,4.79,1.82,2.9
72.73,14.24,2.41,0.5,4.88,1.72,2.94
71.69,14.77,2.8,0.41,5.29,1.7,2.77
72.25,14.35,2.54,0.64,4.74,1.89,3.01
71.14,15.13,2.76,0.73,4.89,2.11,2.66
48.95,12.01,2.82,15.86,2.75,12.92,0.37
66.39,0.69,3.03,26.53,0.04,1.36,0.28
65.12,0.51,3.39,27.43,0.02,1.33,0.65
71.45,14.67,2.75,0.78,4.92,2.15,2.71
72.12,14.46,2.67,0.71,4.82,1.85,2.82
69.99,15.2,3.09,0.99,4.33,2.73,3.04
69.1,15.64,3.31,0.91,5.51,2.44,2.39
64.92,0.54,4.04,27.19,0.01,1.26,0.54
70.61,15.2,3.15,0.69,4.78,2.3,2.62
69.6,15.3,3.43,1.03,4.73,2.62,2.52
69.91,15.8,3,0.81,4.96,2.51,2.37
69.04,15.83,3.51,1.06,4.72,2.72,2.4
49.85,10.79,3.94,16.02,2.54,12.77,0.43
59.51,17.5,6.06,3.41,4.42,6.82,1.07
57.59,21.96,5.95,0.02,7.93,5,0.46
47.86,11.69,6.82,14.97,2.43,12.35,0.39
56.16,18.08,8.22,3.79,3.84,7.37,1.06
50.33,9,7.08,15.73,2.1,12.37,0.36
55.79,18.16,8.6,3.33,4.07,7.41,1.03
58.61,18.28,7.3,2.95,4.24,5.59,1.59
58.1,17.33,7.11,3.29,4.06,7.29,1.49
56.73,19.56,7.8,3.4,3.79,6.04,1.3
53.55,18.12,7.99,4.13,4.54,8.15,1.34
50.25,17.47,10.63,5,3.43,8.95,1.7
74.59,13.75,1.74,0.33,4.77,1.2,3.19
73.59,13.82,2.08,0.39,5.23,1.29,3.12
75.61,13.06,1.6,0.25,4.86,0.92,3.34
75.91,13.02,1.47,0.27,4.62,0.99,3.41
56.01,16.63,7.12,6.39,3.52,7.87,1.2
76.19,12.75,1.44,0.24,4.68,0.95,3.45
50.11,17.45,11.01,5.21,3.39,8.47,1.76
74.91,13.65,1.4,0.24,3.57,0.99,4.94
73.76,13.8,1.98,0.41,5.15,1.41,2.99
51.25,0.49,24.05,21.65,0.02,0.99,0.47
55.23,19.58,5.12,4.89,4.36,8.47,0.79
53.68,17.69,9.59,4.46,4.07,8.09,0.9
53.45,17.5,9.13,5.27,4.08,8.04,1.05
53.53,16.86,9.91,5.54,3.85,7.83,0.69
52.35,16.69,10.22,5.96,3.7,8.49,0.64
56.47,18.42,4.51,5.43,3.84,8.75,0.87
53.47,16.53,10.45,4.38,4.1,8.36,1
53.9,16.58,9.75,5.16,3.71,8.16,0.63
53.23,17.22,12.4,3.93,3.68,7.83,0.43
52.5,17.48,9.56,4.99,3.96,8.6,1.13
54.27,18,9.02,4.35,3.37,8.59,0.89
54.5,19.2,8.07,3.94,3.75,8.86,0.47
54.29,20.01,7.92,3.12,3.97,8.97,0.61
52.51,17.5,9.87,4.85,3.93,8.57,0.85
56.54,17.91,8.17,3.91,3.97,7.68,0.65
53.83,18.62,8.44,4.11,4.37,7.84,1.06
54.78,17.04,7.99,5.37,3.79,8.47,1.01
54.81,16.69,8.03,5.61,3.88,8.4,0.98
58.3,18.02,6.71,3.59,4.23,7.28,0.86
59.31,18.81,6.43,2.82,4.21,6.53,0.96
54.85,19.17,8.71,4.47,2.39,8.03,0.91
52.1,16.14,8.4,8.28,3.3,9.08,0.67
51.46,17.61,9.91,6.67,3.56,8.56,0.7
54.47,17.44,8.78,5.23,3.85,7.59,0.86
50.85,16.97,10.95,5.22,3.23,8.51,1.56
50.67,17.03,11.07,5.23,3.19,8.52,1.55
50.96,17.07,10.93,5.06,3.18,8.68,1.65
55.53,7.52,12.59,5.83,3.69,10.13,1.8
49.95,17.12,11.46,5.3,3.33,8.57,1.66
51.04,17.36,10.49,5.27,3.45,8.61,1.42
50.51,17.54,10.39,4.86,3.59,8.71,1.77
50.08,17.3,10.67,4.85,3.47,8.69,1.79
50.45,17.48,10.43,4.68,3.7,8.73,1.8
50.15,17.33,10.85,4.94,3.43,8.62,1.97
50.13,17.22,10.65,5.11,3.47,8.82,1.75
49.66,18.11,10.91,4.8,3.5,8.53,1.78
49.81,18.3,10.38,4.62,3.56,9.01,1.7
49.93,18.16,10.45,4.91,3.44,8.67,1.88
49.88,17.32,10.91,5.07,3.37,8.58,2.02
50.21,17.5,10.72,4.81,3.5,8.48,1.88
68.5,16.01,3.17,1.4,3.79,2.84,3.61
50.73,17.49,10.65,4.44,3.61,8.53,1.75
61.34,17.08,4.91,2.73,4.83,5.23,2.77
50.22,17.2,10.48,5.15,3.59,8.87,1.7
54.91,16.93,7.56,7.18,3.22,6.95,1.91
54.2,15.43,8.46,7.37,3.66,7.57,1.58
55.92,16.41,7.27,6.77,3.42,7.75,1.2
55.97,15.36,7.84,6.9,3.64,6.77,1.97
56.5,18.24,7.47,3.89,3.59,6.98,1.79
53.1,17.56,8.73,4.86,4.04,8.6,1.54
74.79,14.06,1.38,0.09,3.73,0.52,5.22
60.38,17.12,6.1,3.08,4.23,5.85,2.07
63.4,16.82,4.7,2.16,4.48,4.7,2.54
63.6,16.62,5.2,1.98,4.46,4.32,2.65
61.43,17.2,5.68,2.65,4.32,5.46,2.08
59.03,17.66,6.52,3.39,4.1,6.41,1.57
58.82,17.6,6.44,3.5,4.12,6.6,1.6
51.12,15.39,11.38,8.27,2.51,9.36,0.41
62.71,17.11,5.39,2.23,4.45,4.69,2.27
59.31,17.65,6.2,3.07,4.36,6.19,1.81
61.61,17.14,5.76,2.63,4.29,5.25,2.12
61.33,17.26,5.9,2.76,4.27,5.27,2.03
60.34,17.1,6.19,3.03,4.33,5.77,1.97
60.27,17.35,6.32,3.16,3.81,6.39,1.5
60.38,16.92,6.28,3.15,4.21,5.81,1.97
59.75,17.05,6.44,3.26,4.18,6.03,1.92
59.94,17.35,6.41,3.29,3.74,6.52,1.49
59.8,17.29,6.34,3.25,4.14,5.94,1.91
51.03,10.62,9.03,16.68,2.2,9.19,0.59
53.68,15.61,7.78,9.46,3.3,7.76,1.08
54.47,18.79,8.39,4.49,3.92,8.09,0.62
55.71,19.3,7.34,3.95,3.93,7.88,0.82
58.88,18.33,5.52,3.67,4.31,7.14,1.13
59.04,17.52,6.17,3.62,4.77,6.14,1.42
59.04,17.52,7.37,2.64,4.52,6.26,1.24
60.74,16.83,6.68,2.32,5.11,5.28,1.38
60.76,17.23,6.5,2.24,4.87,5.27,1.51
61.24,18.12,5.41,2.91,4.43,5.33,1.41
61.38,17.84,5.41,2.25,5.03,5.29,1.63
70.5,15.28,2.68,0.76,5.23,2.27,2.67
70.67,15.27,2.82,0.8,4.79,2.35,2.65
70.29,15.38,2.8,0.79,5.26,2.3,2.56
70.28,15.27,2.8,0.83,5.31,2.32,2.57
70.27,15.27,2.96,0.78,4.95,2.44,2.7
70.64,15.17,2.7,0.7,5.4,2.17,2.61
71.88,14.78,2.37,0.58,5.3,1.74,2.83
70.66,15.07,2.74,0.76,5.01,2.33,2.86
70.55,15.17,2.83,0.78,5.1,2.36,2.56
71.7,14.68,2.53,0.63,4.77,2.16,2.98
72.05,14.77,2.35,0.54,5.34,1.69,2.74
59.65,17.53,6.12,3.89,4.07,6.49,1.27
64.06,16.64,4.82,2.64,4.39,4.81,1.78
64.65,16.34,4.71,2.46,4.54,4.55,1.87
67.33,15.96,3.82,1.54,4.85,3.45,2.25
69.14,15.66,3.45,0.9,4.82,2.75,2.43
46.07,14.57,15.43,7.38,2.42,9.58,0.67
62.51,16.89,5.34,2.42,4.24,5.03,2.39
62.34,16.9,5.52,2.3,4.52,4.86,2.31
50.51,16.77,9.98,6.99,3.15,9.88,0.8
47.52,15.17,13.13,10.12,2.76,9.14,0.45
51.17,15.76,11.42,7.21,2.89,8.71,1.17
62.6,16.78,5.54,2.18,4.45,4.83,2.39
52.21,15.76,9.37,7.38,3.53,8.48,1.41
50.14,17.11,10.84,7.66,3.02,9.3,0.5
62.8,17,5.46,2.06,4.4,4.58,2.46
62.88,16.89,5.18,2.24,4.44,4.85,2.35
59.25,16.43,7.39,3.22,4.03,6.05,1.86
61.05,17.27,5.8,1.81,4.62,5.12,2.71
61.53,17,5.85,1.82,4.49,5.06,2.63
49.28,16.73,11.13,7.61,3.12,9.92,0.4
53.22,16.71,9.51,6.09,3.38,8.8,0.8
50.7,17.33,10.02,6.96,3.21,9.67,0.55
50.11,16.9,10.83,7.71,2.98,9.54,0.5
52.85,16.38,8.49,7.44,3.54,8.34,1.11
51.51,16.52,9.76,7.49,3.15,8.98,0.9
46.32,16.26,12.71,8.76,2.99,10.99,0.02
50.36,16.75,10.48,7.87,3.21,9.23,0.55
51.45,17.35,9.75,6.63,3.11,9.52,0.65
58,17.42,7.39,4.73,3.83,6.04,1.01
52.16,16.51,8.5,7.75,3.71,8.16,1.06
65.05,16.71,4.55,1.37,4.42,3.31,3.47
54.94,15.83,7.43,6.06,3.78,8.01,2.08
53.03,16.27,10.27,5.83,3.41,7.98,1.1
50.31,17.57,9.98,7.49,3.07,9.58,0.4
54.64,17.14,7.62,6.1,3.95,8.07,1.11
53.22,17.29,7.36,6.26,3.64,9.06,0.93
56.98,17.42,7.38,4.03,3.91,6.85,1.46
55.52,17.06,8.3,4.59,3.84,7.87,1.11
54.55,16.48,8.49,6.08,3.82,7.43,1.36
53.33,16.81,9.03,5.99,3.53,8.58,0.81
54.07,16.46,7.45,6.86,4.07,7.93,1.37
56.79,17.17,6.55,3.76,4.47,7.72,1.73
54.6,16.55,6.95,7.47,4.04,7.32,1.46
52.28,16.15,8.75,6.81,4.04,8.33,1.41
50.77,16.92,10.46,7.86,3.16,8.86,0.45
50.14,17.31,10.45,7.86,3.16,8.86,0.5
48.93,17.2,10.83,8.3,3.14,9.4,0.5
49.67,16.85,10.64,7.98,3.11,9.57,0.55
52.51,15.96,9.2,7.12,3.72,8.13,1.36
48.29,17.36,11.98,7.98,3.07,9.68,0.25
49.2,17.33,10.69,7.72,3.09,9.72,0.5
56.4,17.85,7.9,3.74,4.31,6.95,1.36
50.99,17.14,10.82,5.4,3.71,8.81,1.06
64.58,20.35,5.11,0.59,4.03,3.94,0.62
57.22,17.46,7.49,3.61,4.43,7.15,1.24
49.73,16.84,11.14,6.86,3.06,10.42,0.41
51.32,16.77,10.09,7.02,3.19,9.61,0.44
49.13,15.91,12.1,7.63,2.9,10.1,0.52
48.72,16.83,11.03,7.84,3.25,10.3,0.65
52.4,17.06,9.97,5.44,3.35,9.51,0.71
51.73,16.51,10.22,6.31,3.08,10.09,0.57
54.16,17.11,8.23,5.79,3.65,8.83,0.87
54.54,17.44,8.2,4.74,4.19,8.5,0.88
51.66,16.99,8.93,6.78,3.63,9.54,0.89
53.47,17.61,8.6,6.9,3.66,7.35,0.91
53.54,17.61,8.59,5.4,3.97,8.21,1.07
53.69,16.71,8.99,6.34,4.6,8.01,0.02
52.64,17.07,9.13,5.97,4.02,8.23,1.01
54.13,16.68,8.84,6.72,3.47,7.85,0.71
55.25,17.37,7.6,5.71,4.23,7.41,1.02
48.47,16.89,11.32,8.01,3.37,10.06,0.5
56.02,18.78,7.39,3.55,4.94,7.11,0.84
52.04,15.48,10.06,7.55,3.54,8.37,1.15
49.76,17.92,10.46,7.25,3.1,9.25,0.6
50.06,16.81,10.04,8.32,3.08,9.57,0.65
50.16,16.59,10.84,7.37,3.12,9.36,0.8
48.64,15.83,10.99,7.75,2.99,10.44,1.39
49,16.24,10.69,7.23,3.36,10.36,1.05
49.6,15.88,10.01,8.14,3.73,9.35,1.14
52.8,16.28,7.7,7.51,3.94,8.41,1.86
48.28,17.73,11.17,7.66,3.36,10.15,0.25
61.76,17.26,5.23,2.48,4.45,5.19,2.35
48.16,16.53,11.54,7.94,3.23,10.54,0.3
53.78,15.96,9.11,6.19,3.88,7.98,1.4
51.62,16.34,9.89,6.79,3.86,9.08,0.7
48.59,16.74,11.93,6.82,3.25,10.46,0.65
49.37,16.85,10.22,8.24,3.42,9.9,0.45
52.73,15.45,9.47,7.67,3.22,8.09,1.6
65.54,15.66,4.88,1.89,4.3,4.03,2.81
50.01,15.56,10.45,8.29,3.46,8.59,1.2
47.85,16.42,12.32,7.22,3.51,10.35,0.3
49.78,15.86,9.24,8.62,3.79,9.46,1.41
53.39,17.13,8.45,6.15,4.12,7.5,1.19
51.72,18.64,9.45,6.78,3.72,7.6,0.35
53.53,16.82,8.11,6.83,4.2,7.52,1.49
48.88,16.41,9.08,9.56,3.45,10.58,0.25
51.19,17.17,10.56,5.44,3.8,8.84,0.9
59.44,16.65,6.2,2.79,4.69,5.84,2.89
52.37,16.51,9.62,5.04,4.01,8.19,1.61
46.95,14.82,11.49,9.96,2.92,10.56,1.09
47.11,15.89,11.95,8.07,3.49,9.95,0.85
49.47,17.37,12.9,3.97,4.59,6.52,1.43
49.02,17.08,11.34,7.52,2.11,10.02,0.58
47.76,16.25,11.67,8.04,3.27,10.08,0.61
48.61,16.15,11.43,6.72,3.51,10.89,0.62
48.85,17.39,11.43,5.76,3.42,9.72,1.03
47.5,14.93,10.61,8.84,3.08,11.56,1.36
45.44,14.11,12.53,10.56,3.31,9.72,1.56
44.12,13.31,11.89,12.72,3.22,10.59,1.21
47.83,16.28,10.43,4.79,4.67,8.5,3.34
60.15,16.76,6.03,2.58,4.63,5.57,2.82
60.42,17.43,6.32,3.18,3.72,6.18,1.63
62.36,16.22,6.36,2.2,3.96,5.27,2.51
68.44,15.26,3.4,0.54,5.55,1.3,4.75
49.03,15.63,12.54,5.88,3.68,8.86,1.16
47.56,17.2,11.12,8.51,2.68,11.1,0.29
47.57,16.87,11.45,8.19,2.94,10.68,0.41
47.36,17.29,11.03,8.81,2.65,11.02,0.27
47.62,16.97,11.33,8.42,2.82,10.86,0.33
47.65,17.11,11.13,8.33,2.88,10.84,0.37
47.21,17.07,11.51,8.83,2.77,10.63,0.34
47.65,17.03,11.05,8.72,2.91,10.71,0.35
47.47,17.06,11,8.93,3.01,10.53,0.36
47.33,17.35,11.03,8.7,2.79,10.83,0.31
47.06,17.23,11.41,8.63,2.95,10.59,0.4
47.72,16.89,10.07,9.41,2.94,10.05,0.8
48.92,15.78,11.05,7.86,3.41,8.87,1.57
46.15,13.16,13.52,8.57,3.47,9.06,1.92
63.55,16.98,4.89,1.75,4.64,4.29,2.78
43.02,11.81,13.5,11.34,4.64,10.1,1.51
47.03,16.96,10.06,7.05,5.62,8.78,1.72
41.23,10.7,14.81,12.4,4.21,9.7,2.1
59.26,16.7,6.21,2.74,4.76,5.86,2.92
46.54,14.87,11.45,11.24,2.96,9.17,1.16
49.34,18.42,11.09,4.8,4.24,7.37,1.74
45.53,15.23,11.77,10.37,3.19,10.09,1.05
50.7,15.55,10.04,8.29,3.71,7.98,1.57
47.39,16.16,11.67,7.94,2.78,10.74,0.9
46.41,14.93,12.15,10.08,2.98,9.74,0.98
47.85,15.07,10.78,9.91,3.25,8.89,1.55
48.74,15.99,11.08,7.72,3.73,8.62,1.61
51.76,17.45,8.24,6.96,3.69,8.68,1.42
47.18,13.8,9.17,13.04,2.98,10.59,1.2
49.67,17.02,8.95,7.06,3.75,10.61,0.95
47.69,15.98,9.12,9.28,3.68,9.68,1.96
46.39,15.61,10.2,9.76,3.39,10.22,1.46
46.74,14.15,9.29,11.81,2.86,11.43,1.44
48.81,17.1,9.41,7.55,3.63,10.42,0.97
77.8,12.59,1,0.07,3.33,0.24,4.83
51.76,17.73,8.34,6.58,3.89,8.58,1.35
52.44,17.56,7.71,6.48,4.03,8.04,1.81
52.63,16.19,7.77,6.16,3.66,9.48,2.05
46.96,14.43,15.84,6.23,2.6,8.85,0.83
76.36,12.09,2.15,0.18,3.42,0.58,4.94
62.03,16.53,8.55,0.48,4.49,2.51,4.32
