"age_ma","omega_weathering","psi_provenance","sample_id","strat_name"
526,-0.744889137638441,-0.109221290201552,1554,"Shiyantou Formation"
526,-1.33480313341866,0.989380188624577,1555,"Shiyantou Formation"
526,-1.00553487912848,0.154828218932814,1556,"Shiyantou Formation"
526,-0.976273955182002,0.232419774078785,1557,"Shiyantou Formation"
526,-1.07605428155271,0.318291415516923,1558,"Shiyantou Formation"
526,-1.11456487850156,0.570597143283533,1561,"Shiyantou Formation"
526,-1.24557025674004,0.636375092387649,1574,"Shiyantou Formation"
526,-1.08303848792679,0.612882466068208,1575,"Shiyantou Formation"
526,-1.33537921269552,1.14334182623778,1576,"Shiyantou Formation"
526,-1.29528152211209,1.1322277431836,1577,"Shiyantou Formation"
526,-1.52733747200602,1.30504822787942,1579,"Shiyantou Formation"
521,-0.412133781445456,-0.720597034245021,1673,"Shiyantou Formation"
521,-0.914250275851097,0.287485812097006,1674,"Shiyantou Formation"
521,-0.910665474056946,0.132188757046071,1675,"Shiyantou Formation"
521,-0.886084946165551,0.114027415928586,1676,"Shiyantou Formation"
521,-0.452435341531835,-0.657285702727862,1689,"Niutitang Formation"
521,-1.32410038951889,1.30070800498916,1692,"Niutitang Formation"
521,-0.494183397744631,1.1458556104536,1693,"Niutitang Formation"
521,-1.19966558232442,1.09573384719454,1694,"Niutitang Formation"
521,-1.43523068007899,1.20389123822723,1695,"Niutitang Formation"
521,-1.50876711403331,1.38334016983013,1696,"Niutitang Formation"
521,-1.61176280588053,1.46052627217038,1697,"Niutitang Formation"
551,-1.19688869069707,1.311296845778,1758,"Doushantuo Formation"
551,-1.30698748335417,1.47217545193829,1759,"Doushantuo Formation"
551,-1.11644709212023,1.26622265865502,1760,"Doushantuo Formation"
551,-1.43250993306934,1.70794609868782,1761,"Doushantuo Formation"
551,-1.1606767885261,1.27143536050885,1762,"Doushantuo Formation"
551,-1.38560417971183,1.68106771874368,1763,"Doushantuo Formation"
551,-1.30099179937273,1.57988549652407,1764,"Doushantuo Formation"
551,-1.07804198485384,1.274888174661,1765,"Doushantuo Formation"
551,-1.12145617594271,1.34384253300069,1766,"Doushantuo Formation"
551,-1.03484576585391,0.889836027427071,1769,"Doushantuo Formation"
551,-1.58947282554088,1.55012628863246,1770,"Doushantuo Formation"
540,-1.2314367214013,1.84300923532127,1862,"Liuchapo Formation"
540,-0.286768150177183,0.684376688789982,1863,"Liuchapo Formation"
540,-0.924018417378607,1.2101606431655,1864,"Liuchapo Formation"
540,-0.776121825095252,1.08020431333967,1865,"Liuchapo Formation"
540,-0.32576554419873,-0.0961010679356904,1866,"Liuchapo Formation"
540,-0.392061082221068,1.18552812311368,1867,"Liuchapo Formation"
540,-0.0777345183130627,0.386610306739639,1868,"Liuchapo Formation"
540,-1.57481119068051,1.44079522779494,1871,"Niutitang Formation"
388,4.144702519582,1.13816777398952,3035,"Road River Group"
388,4.30079626726214,1.05340847939554,3036,"Road River Group"
388,1.47893169424889,1.29166542171817,3037,"Road River Group"
388,4.03786939576022,1.18354875891449,3038,"Road River Group"
388,2.62447906326657,1.01673089295174,3039,"Road River Group"
388,1.2610845598839,1.0482138198854,3040,"Road River Group"
388,1.94412741174969,1.04759019735405,3041,"Road River Group"
388,2.51025994220311,0.9779808473095,3042,"Road River Group"
388,2.57033345346081,0.84680543805454,3043,"Road River Group"
388,3.76192273446574,0.760679397563973,3044,"Road River Group"
388,3.654694098892,0.550519324537304,3045,"Road River Group"
388,3.54325171463121,0.677727967819625,3046,"Road River Group"
388,2.96725058406991,1.29944746856112,3047,"Road River Group"
388,2.75073949821159,1.44522380187537,3048,"Road River Group"
388,3.03705240852033,1.59521583146158,3049,"Road River Group"
388,3.45490341292076,1.35754315955044,3050,"Road River Group"
388,3.62246080519466,1.46237338028616,3051,"Road River Group"
432.21,0.236720470964832,0.293908930932978,3052,"Road River Group"
432.18,0.260076473814568,0.13687729882728,3053,"Road River Group"
432.09,0.809716294789297,0.519329249455491,3054,"Road River Group"
432.08,0.872311204814143,0.583226188936535,3055,"Road River Group"
432.06,0.931311916389517,0.544559024086773,3056,"Road River Group"
431.96,0.287686329760381,0.182810559181204,3057,"Road River Group"
431.89,0.617266772769314,0.365882344379936,3058,"Road River Group"
431.81,0.643555381345081,0.646926635368863,3059,"Road River Group"
431.72,1.32130197633383,0.52430586093902,3060,"Road River Group"
431.69,1.36053371419872,0.597913798265717,3061,"Road River Group"
431.66,0.398807838076388,0.316555560189818,3062,"Road River Group"
431.64,0.197405530193496,0.171051023361083,3063,"Road River Group"
431.56,1.0530142280152,0.439573635829916,3064,"Road River Group"
431.43,0.88770138206351,0.563351642837591,3065,"Road River Group"
431.38,0.358812973925246,0.149720979663338,3066,"Road River Group"
431.29,0.581793662853556,0.273198887844061,3067,"Road River Group"
431.25,0.726314995251513,0.377391745899008,3068,"Road River Group"
431.14,0.692200413747901,0.444334165730247,3069,"Road River Group"
431.06,1.05132652523793,0.681488697595636,3070,"Road River Group"
431,0.723056501923064,0.621196759479742,3071,"Road River Group"
430.9,0.404246503070192,0.263164071905957,3072,"Road River Group"
430.85,-0.0633043182608402,0.49818397064003,3073,"Road River Group"
430.74,0.0713365815550751,0.557447777755213,3074,"Road River Group"
430.69,0.186808475600841,0.586475585237711,3075,"Road River Group"
430.51,0.508807135451508,0.570721152731376,3077,"Road River Group"
430.35,0.790652985748592,0.913648726677592,3079,"Road River Group"
430.34,1.21488889889587,0.901583604208784,3080,"Road River Group"
430.47,-0.505294407574329,0.193942073204549,3081,"Road River Group"
