Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,Lat,Long,State,Georef ,Navdat Sample Number ,Authors,,,,,,,,,
SSV78-12,48.86,15.17,13.65,5.24,2.84,9.12,1.7,42.8973,-111.654,Idaho,1985-023737,10664,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
SSV78-14,45.51,14.66,16.91,5.51,2.54,9.01,1.29,42.8763,-111.4873,Idaho,1985-023737,10665,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
BPV78-10,45.67,14.27,16.29,5.46,2.57,10.06,0.99,42.9102,-111.4423,Idaho,1985-023737,10666,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
GV77-10,47.28,17.7,12.7,3.78,3.37,9.8,1.38,42.6189,-111.6961,Idaho,1985-023737,10667,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
GV77-14,47.62,17.83,12.8,3.99,3.31,9.53,1.17,42.5956,-111.6955,Idaho,1985-023737,10668,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
SSV78-33,46.39,17.96,13.17,4.68,2.81,10,1.05,42.88,-111.5993,Idaho,1985-023737,10669,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
BPV78-S1,54.68,14.79,7.04,7.1,2.51,7.29,4.41,42.588,-111.3148,Idaho,1985-023737,10670,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
BPV78-2D,56.46,14.85,6.43,5.66,2.3,6.51,5.63,42.5918,-111.2996,Idaho,1985-023737,10671,"Fiesinger, Donald W; Perkins, William D; Puchy, Barbara J",,,,,,,,,
BS-1,76.08,12.2,1.97,0,4.39,0.47,4.75,43.4053,-113.0339,Idaho,1980-030735,6274,"Spear, D B",,,,,,,,,
BS-2,76.06,12.3,1.82,0.02,4.36,0.44,4.81,43.3925,-113.027,Idaho,1980-030735,6275,"Spear, D B",,,,,,,,,
BS-3,76.32,12.2,1.81,0.03,4.3,0.48,4.69,43.3925,-113.027,Idaho,1980-030735,6276,"Spear, D B",,,,,,,,,
BS-4,76.19,12.31,1.98,0.03,4.25,0.4,4.7,43.4,-113.0332,Idaho,1980-030735,6277,"Spear, D B",,,,,,,,,
BS-5,76.26,12.26,1.82,0.03,4.33,0.45,4.7,43.4032,-113.0421,Idaho,1980-030735,6278,"Spear, D B",,,,,,,,,
BS-6,76.26,12.17,1.81,0.03,4.36,0.48,4.73,43.4118,-113.0444,Idaho,1980-030735,6279,"Spear, D B",,,,,,,,,
BS-7,75.88,12.1,1.83,0.01,4.32,1.03,4.67,43.3939,-113.0473,Idaho,1980-030735,6280,"Spear, D B",,,,,,,,,
BS-8,76.17,12.28,1.95,0.03,4.39,0.44,4.6,43.4003,-113.0443,Idaho,1980-030735,6281,"Spear, D B",,,,,,,,,
BS-9,76.48,12.16,1.97,0,4.33,0.35,4.58,43.4024,-113.0269,Idaho,1980-030735,6282,"Spear, D B",,,,,,,,,
BS-10,74.56,12.26,1.8,0.15,4.29,2.34,4.42,43.4182,-113.017,Idaho,1980-030735,6283,"Spear, D B",,,,,,,,,
NOB,75.85,12.38,1.81,0,4.32,0.48,5.01,43.4031,-113.0305,Idaho,1980-030735,6284,"Spear, D B",,,,,,,,,
KFB,76.17,12.43,1.85,0.1,4.24,0.58,4.55,43.4031,-113.0305,Idaho,1980-030735,6285,"Spear, D B",,,,,,,,,
KS,76.3,12.47,1.74,0,4.49,0.23,4.69,43.4031,-113.0305,Idaho,1980-030735,6286,"Spear, D B",,,,,,,,,
BS-11,44.63,14.58,17.31,5.97,2.66,9.67,1.81,43.4109,-113.0443,Idaho,1980-030735,6287,"Spear, D B",,,,,,,,,
BS-12,45.15,14.55,15.84,7.07,3.14,9.67,0.73,43.4109,-113.0443,Idaho,1980-030735,6288,"Spear, D B",,,,,,,,,
BS-13,48.16,13.13,18.25,2.99,3.48,7.38,1.92,43.4109,-113.0443,Idaho,1980-030735,6289,"Spear, D B",,,,,,,,,
BS-14,50.9,13.15,17.27,2.76,3.14,6.36,2.31,43.4093,-113.0411,Idaho,1980-030735,6290,"Spear, D B",,,,,,,,,
BS-15,52.3,13,17.4,2.01,3.26,6.06,2.26,43.4029,-113.0335,Idaho,1980-030735,6291,"Spear, D B",,,,,,,,,
BS-16,53.78,14.59,10.78,6.42,2.91,7.77,1.55,43.4038,-113.0369,Idaho,1980-030735,6292,"Spear, D B",,,,,,,,,
EB-1,75.3,11.99,2.51,0.08,3.7,0.93,5.22,43.499,-112.663,Idaho,1980-030735,6293,"Spear, D B",,,,,,,,,
EB-2,74.9,12.13,2.44,0.15,3.96,1.34,4.81,43.499,-112.663,Idaho,1980-030735,6294,"Spear, D B",,,,,,,,,
EB-3,75.34,12.07,2.58,0.05,3.83,0.68,5.2,43.499,-112.663,Idaho,1980-030735,6295,"Spear, D B",,,,,,,,,
EB-4,75.57,12.5,2.49,0.02,3.78,0.26,5.15,43.499,-112.663,Idaho,1980-030735,6296,"Spear, D B",,,,,,,,,
EB-5,75.53,12.27,2.4,0.03,3.87,0.54,5.11,43.499,-112.663,Idaho,1980-030735,6297,"Spear, D B",,,,,,,,,
EB-6,75.58,12.21,2.42,0.04,3.94,0.59,4.99,43.499,-112.663,Idaho,1980-030735,6298,"Spear, D B",,,,,,,,,
P-EB,75.21,12.52,2.34,0.07,3.86,0.59,5.15,43.499,-112.663,Idaho,1980-030735,6299,"Spear, D B",,,,,,,,,
K-EB,75.71,12.13,2.36,0.02,3.94,0.62,5.05,43.499,-112.663,Idaho,1980-030735,6300,"Spear, D B",,,,,,,,,
EB-7,52.38,14.39,14.36,2.6,3.9,7.04,1.57,43.499,-112.663,Idaho,1980-030735,6301,"Spear, D B",,,,,,,,,
EB-8,55.24,14.39,13.84,2.18,2.28,6.27,2.34,43.499,-112.663,Idaho,1980-030735,6302,"Spear, D B",,,,,,,,,
EB-9,44.69,15.17,15.41,6.87,2.56,10.63,0.65,43.499,-112.663,Idaho,1980-030735,6303,"Spear, D B",,,,,,,,,
EB-10,46.37,15.09,13.87,7.13,2.79,10.84,0.56,43.499,-112.663,Idaho,1980-030735,6304,"Spear, D B",,,,,,,,,
MB-1,46.71,15.57,11.91,9.15,2.49,11.29,0.21,43.499,-112.663,Idaho,1980-030735,6305,"Spear, D B",,,,,,,,,
CB-1,54.23,13.62,14.87,1.74,3.74,5.65,3.13,43.3765,-112.9029,Idaho,1980-030735,6307,"Spear, D B",,,,,,,,,
CB-2,56.05,13.29,13.72,1.59,3.52,6.09,3.15,43.3833,-112.9102,Idaho,1980-030735,6308,"Spear, D B",,,,,,,,,
CB-3,58.2,13.26,13.39,1.22,3.85,4.46,3.26,43.3949,-112.9074,Idaho,1980-030735,6309,"Spear, D B",,,,,,,,,
K-CB,57.08,13.94,13.4,1.3,3.91,4.71,3.31,43.3924,-112.9078,Idaho,1980-030735,6310,"Spear, D B",,,,,,,,,
CB-4,58.73,13.54,12.61,1.09,3.99,4.26,3.71,43.4037,-112.8942,Idaho,1980-030735,6311,"Spear, D B",,,,,,,,,
CB-5,58.13,13.26,12.39,1.15,3.74,5.44,3.84,43.3961,-112.9086,Idaho,1980-030735,6312,"Spear, D B",,,,,,,,,
CB-6,58.44,13.42,12.22,1.2,3.8,5.07,3.76,43.3961,-112.9086,Idaho,1980-030735,6313,"Spear, D B",,,,,,,,,
CB-7,59.05,13.66,12.17,1,3.88,4.49,3.78,43.3974,-112.9085,Idaho,1980-030735,6314,"Spear, D B",,,,,,,,,
CB-8,61.51,14.05,10.4,0.36,4.15,3.36,4.77,43.4274,-112.9153,Idaho,1980-030735,6315,"Spear, D B",,,,,,,,,
CB-9,64.39,13.73,8.99,0.14,4.46,2.29,5.01,43.4067,-112.9108,Idaho,1980-030735,6316,"Spear, D B",,,,,,,,,
CB-10,64.54,13.72,8.57,0.1,4.27,3.09,4.83,43.4186,-112.9041,Idaho,1980-030735,6317,"Spear, D B",,,,,,,,,
CB-11,64.53,13.76,8.44,0.1,4.26,3,4.99,43.4192,-112.9062,Idaho,1980-030735,6318,"Spear, D B",,,,,,,,,
CB-12,66.93,13.65,7.01,0.02,4.44,2.02,5.22,43.3894,-112.9055,Idaho,1980-030735,6319,"Spear, D B",,,,,,,,,
CB-13,67.25,13.63,6.8,0.07,4.46,1.84,5.25,43.3913,-112.9052,Idaho,1980-030735,6320,"Spear, D B",,,,,,,,,
CB-14,67.22,13.56,6.78,0.03,4.52,2.03,5.17,43.3907,-112.9074,Idaho,1980-030735,6321,"Spear, D B",,,,,,,,,
CB-15,71.41,13.44,3.93,0.03,4.46,1,5.32,43.3923,-112.9091,Idaho,1980-030735,6322,"Spear, D B",,,,,,,,,
CB-16,72.06,13.39,3.77,0.11,4.32,0.96,4.84,43.3924,-112.9078,Idaho,1980-030735,6323,"Spear, D B",,,,,,,,,
B-1,45.43,14.89,14.27,8.76,2.65,10.45,0.48,43.3587,-112.9687,Idaho,1980-030735,6324,"Spear, D B",,,,,,,,,
B-2,44.39,15.39,15.94,6.9,2.47,9.65,0.67,43.3803,-112.9784,Idaho,1980-030735,6325,"Spear, D B",,,,,,,,,
B-3,46.31,15.27,13.72,8.67,2.56,9.95,0.42,43.3587,-112.9687,Idaho,1980-030735,6326,"Spear, D B",,,,,,,,,
B-4,44.71,14.72,15.97,6.89,2.94,9.41,0.85,43.4118,-112.886,Idaho,1980-030735,6327,"Spear, D B",,,,,,,,,
B-5,45.92,15.27,14.99,7.04,2.7,9.95,0.62,43.4946,-112.8721,Idaho,1980-030735,6328,"Spear, D B",,,,,,,,,
B-6,46.29,14.43,15.22,6.77,2.79,8.86,0.89,43.4855,-112.8712,Idaho,1980-030735,6329,"Spear, D B",,,,,,,,,
B-7,45.45,14.25,13.9,10.34,2.39,10.59,0.31,43.3979,-112.7009,Idaho,1980-030735,6330,"Spear, D B",,,,,,,,,
B-8,46.52,15.47,15.08,5.36,2.85,9.76,0.63,43.4316,-112.7564,Idaho,1980-030735,6331,"Spear, D B",,,,,,,,,
B-9,46.09,14.17,16.48,6.05,2.58,10.01,0.69,43.4316,-112.7564,Idaho,1980-030735,6332,"Spear, D B",,,,,,,,,
B-10,44.99,15.1,15.7,6.6,2.83,9.77,0.75,43.3979,-112.7009,Idaho,1980-030735,6333,"Spear, D B",,,,,,,,,
B-11,44.21,14.8,15,7.21,2.74,11.38,0.71,43.2871,-112.9628,Idaho,1980-030735,6334,"Spear, D B",,,,,,,,,
B-12,45.78,15.46,13.64,8.04,2.63,10.68,0.76,43.4566,-112.7672,Idaho,1980-030735,6335,"Spear, D B",,,,,,,,,
B-13,46.37,15.09,14.49,6.83,2.88,10.01,0.65,43.5145,-112.8452,Idaho,1980-030735,6336,"Spear, D B",,,,,,,,,
B-14,45.6,14.64,16.48,6.49,2.46,9.24,0.48,43.4728,-112.7342,Idaho,1980-030735,6337,"Spear, D B",,,,,,,,,
B-15,46.97,15.16,13.2,8.28,2.49,10.67,0.44,43.5283,-112.5703,Idaho,1980-030735,6338,"Spear, D B",,,,,,,,,
EB-9,44.69,15.17,15.41,6.87,2.56,10.63,0.65,43.5067,-112.6475,Idaho,1980-030735,6339,"Spear, D B",,,,,,,,,
EB-10,46.37,15.09,13.87,7.13,2.79,10.84,0.56,43.4549,-112.6898,Idaho,1980-030735,6340,"Spear, D B",,,,,,,,,
MB-1,46.71,15.57,11.91,9.15,2.49,11.29,0.21,43.4942,-112.7357,Idaho,1980-030735,6341,"Spear, D B",,,,,,,,,
MB-2,46.62,15.37,13.09,8.59,2.12,10.81,0.56,43.4942,-112.7357,Idaho,1980-030735,6342,"Spear, D B",,,,,,,,,
BR-11,48.34,17.16,11.83,5.66,3.78,9.23,1.22,35.9403,-117.8153,California,1999-027978,38813,Groves-Kristelle-Renee,,,,,,,,,
BR-1,56.86,10.6,5.19,9.94,5.74,5.52,3.64,41.8736,-108.7951,Wyoming,1980-042937,6345,"Ogden, P R, Jr",,,,,,,,,
BR-4,55.12,9.79,5.11,9.9,2.13,5.21,10.22,41.8736,-108.7951,Wyoming,1980-042937,6346,"Ogden, P R, Jr",,,,,,,,,
BR-5,52.22,9.14,5.36,10.09,1.79,4.73,11.45,41.8736,-108.7951,Wyoming,1980-042937,6347,"Ogden, P R, Jr",,,,,,,,,
CB-3,55.96,11.97,4.03,6.97,1.63,4.79,10.12,41.8191,-109.0032,Wyoming,1980-042937,6349,"Ogden, P R, Jr",,,,,,,,,
CB-vent,55.02,10.61,3.92,6.7,1.75,4.64,13.09,41.8191,-109.0032,Wyoming,1980-042937,6350,"Ogden, P R, Jr",,,,,,,,,
DB-61,54.15,9.4,5.06,7.34,1.34,5.37,11.88,41.8333,-109.0423,Wyoming,1980-042937,6351,"Ogden, P R, Jr",,,,,,,,,
DB-63,54.47,10.37,4.19,7.75,1.26,4.71,11.63,41.8333,-109.0423,Wyoming,1980-042937,6353,"Ogden, P R, Jr",,,,,,,,,
DB-103,54.2,10.8,5.29,7.52,1.48,5.08,11.96,41.8333,-109.0423,Wyoming,1980-042937,6354,"Ogden, P R, Jr",,,,,,,,,
DB-104,53.25,10.5,5.3,7.64,1.91,6.05,11.67,41.8333,-109.0423,Wyoming,1980-042937,6355,"Ogden, P R, Jr",,,,,,,,,
DB-201,53.73,10.03,5.44,7.32,1.67,4.29,12.13,41.8333,-109.0423,Wyoming,1980-042937,6356,"Ogden, P R, Jr",,,,,,,,,
DB-202,54.7,9.9,5.53,7.88,1.7,5,12.45,41.8333,-109.0423,Wyoming,1980-042937,6357,"Ogden, P R, Jr",,,,,,,,,
DB-203,52.82,10.4,5.3,7.96,1.59,6.26,12.2,41.8333,-109.0423,Wyoming,1980-042937,6358,"Ogden, P R, Jr",,,,,,,,,
EM-1,57.79,9.85,5.58,7.55,1.53,5.36,9.63,41.8141,-108.9629,Wyoming,1980-042937,6359,"Ogden, P R, Jr",,,,,,,,,
EM-2,56.73,10.04,5.45,7.85,1.31,6.22,9.6,41.8141,-108.9629,Wyoming,1980-042937,6360,"Ogden, P R, Jr",,,,,,,,,
EM-3,55.04,10.16,5.4,7.94,1.16,5.29,10.48,41.8141,-108.9629,Wyoming,1980-042937,6361,"Ogden, P R, Jr",,,,,,,,,
EM-101,57.05,9.64,5.43,7.98,1.55,5.87,9.75,41.8141,-108.9629,Wyoming,1980-042937,6362,"Ogden, P R, Jr",,,,,,,,,
EM-102,57.16,9.78,5.16,7.31,1.4,5.16,11.39,41.8141,-108.9629,Wyoming,1980-042937,6363,"Ogden, P R, Jr",,,,,,,,,
EM-103,56.43,10.08,5.48,7.78,1.42,5.15,9.09,41.8141,-108.9629,Wyoming,1980-042937,6364,"Ogden, P R, Jr",,,,,,,,,
EM-LF,55.46,9.65,4.72,7.91,1.54,4.31,12.22,41.8141,-108.9629,Wyoming,1980-042937,6365,"Ogden, P R, Jr",,,,,,,,,
EM-UF,55.11,9.24,4.88,7.99,1.45,4.36,12.87,41.8141,-108.9629,Wyoming,1980-042937,6366,"Ogden, P R, Jr",,,,,,,,,
HM-1,52.2,10.2,5.51,7.54,2.04,7.34,10.71,41.8322,-108.9657,Wyoming,1980-042937,6367,"Ogden, P R, Jr",,,,,,,,,
MTM-1,51.96,10,6.52,9.78,0.98,10.22,7.83,41.9119,-109.0228,Wyoming,1980-042937,6368,"Ogden, P R, Jr",,,,,,,,,
MTM-2,52.6,10.41,6.64,8.86,1,10.19,7.42,41.9119,-109.0228,Wyoming,1980-042937,6369,"Ogden, P R, Jr",,,,,,,,,
MTM-C,51.58,10.47,6.64,10.02,0.9,10.59,6.98,41.9119,-109.0228,Wyoming,1980-042937,6370,"Ogden, P R, Jr",,,,,,,,,
MTM-E,51.74,10.65,6.63,9.57,1.09,10,7.61,41.9119,-109.0228,Wyoming,1980-042937,6371,"Ogden, P R, Jr",,,,,,,,,
MTM-12,51.29,8.73,6.03,9.81,0.75,9.16,9.16,41.9119,-109.0228,Wyoming,1980-042937,6372,"Ogden, P R, Jr",,,,,,,,,
MTM-21,52.8,8.39,6.93,10.74,1.01,8.72,8.28,41.9119,-109.0228,Wyoming,1980-042937,6374,"Ogden, P R, Jr",,,,,,,,,
NTM-13L,57.66,10.21,4.33,6.6,1.03,3.4,11.76,41.9176,-109.0232,Wyoming,1980-042937,6376,"Ogden, P R, Jr",,,,,,,,,
NTM-13D,57.17,11.06,4.49,6.26,0.83,3.55,11.27,41.9176,-109.0232,Wyoming,1980-042937,6377,"Ogden, P R, Jr",,,,,,,,,
PB-11,47.76,8.59,6.96,11.64,0.87,13.38,5.55,41.6433,-109.3521,Wyoming,1980-042937,6378,"Ogden, P R, Jr",,,,,,,,,
PB-12,48.93,9.34,7.65,10.57,1.01,12.26,7.42,41.6433,-109.3521,Wyoming,1980-042937,6379,"Ogden, P R, Jr",,,,,,,,,
PB-13,50.33,9.06,7.61,11.41,0.67,13.2,4.81,41.6433,-109.3521,Wyoming,1980-042937,6380,"Ogden, P R, Jr",,,,,,,,,
PB-41,47.47,8.7,7.09,11.49,0.86,12.35,7.2,41.6433,-109.3521,Wyoming,1980-042937,6381,"Ogden, P R, Jr",,,,,,,,,
STM-11,55.79,9.63,5.19,9.1,1.27,3.92,10.59,41.9051,-109.0084,Wyoming,1980-042937,6382,"Ogden, P R, Jr",,,,,,,,,
STM-41,54.9,9.87,4.83,10.92,0.73,3.88,10.08,41.9051,-109.0084,Wyoming,1980-042937,6383,"Ogden, P R, Jr",,,,,,,,,
STM-42,55.67,9.52,4.92,9.84,1.15,3.56,10.05,41.9051,-109.0084,Wyoming,1980-042937,6384,"Ogden, P R, Jr",,,,,,,,,
STM-44,54.41,9.5,4.85,10.32,1.14,4.13,10.32,41.9051,-109.0084,Wyoming,1980-042937,6386,"Ogden, P R, Jr",,,,,,,,,
STM-61,55.25,10.46,5.56,10.03,1.2,3.92,10.35,41.9051,-109.0084,Wyoming,1980-042937,6387,"Ogden, P R, Jr",,,,,,,,,
STM-64,55.62,10.05,5.29,9.83,1.59,3.6,10.47,41.9051,-109.0084,Wyoming,1980-042937,6388,"Ogden, P R, Jr",,,,,,,,,
STM-65,55.49,9.88,5.37,9.77,1.5,3.97,10.73,41.9051,-109.0084,Wyoming,1980-042937,6389,"Ogden, P R, Jr",,,,,,,,,
STM-66,56.39,9.98,5.2,10.2,1.49,3.4,10.2,41.9051,-109.0084,Wyoming,1980-042937,6390,"Ogden, P R, Jr",,,,,,,,,
STM-67,55.68,10.18,5.3,9.04,1.35,4.05,11.43,41.9051,-109.0084,Wyoming,1980-042937,6391,"Ogden, P R, Jr",,,,,,,,,
SB-81,54.79,9.87,5.04,7.87,1.36,5.25,11.44,41.8519,-108.8773,Wyoming,1980-042937,6392,"Ogden, P R, Jr",,,,,,,,,
SB-82,54.3,10.01,5.06,7.85,1.34,5.47,11.46,41.8519,-108.8773,Wyoming,1980-042937,6393,"Ogden, P R, Jr",,,,,,,,,
Steam-1,57.38,11.06,3.96,6.16,0.94,3.23,12.62,41.9669,-108.9668,Wyoming,1980-042937,6394,"Ogden, P R, Jr",,,,,,,,,
Steam-2,57.27,9.93,4.12,6.13,1.37,3.49,12.47,41.9669,-108.9668,Wyoming,1980-042937,6395,"Ogden, P R, Jr",,,,,,,,,
Steam-108,58.01,10.54,4.26,6.6,1.17,2.87,12.99,41.9669,-108.9668,Wyoming,1980-042937,6396,"Ogden, P R, Jr",,,,,,,,,
Steam-109,57.53,10.77,4.22,6.44,1.48,2.85,12.88,41.9669,-108.9668,Wyoming,1980-042937,6397,"Ogden, P R, Jr",,,,,,,,,
Steam-110,57.74,10.95,4.25,6.17,1.17,3.08,12.76,41.9669,-108.9668,Wyoming,1980-042937,6398,"Ogden, P R, Jr",,,,,,,,,
Steam-119,56.32,11.53,4.57,6.03,1.25,2.91,12.88,41.9669,-108.9668,Wyoming,1980-042937,6399,"Ogden, P R, Jr",,,,,,,,,
Steam-120,56.44,11.29,4.47,6.3,1.32,2.85,12.91,41.9669,-108.9668,Wyoming,1980-042937,6400,"Ogden, P R, Jr",,,,,,,,,
Steam-121,56.71,11.73,4.59,5.81,1.33,2.86,12.55,41.9669,-108.9668,Wyoming,1980-042937,6401,"Ogden, P R, Jr",,,,,,,,,
Steam-122-1,56.78,11.66,4.5,5.73,1.43,2.86,12.58,41.9669,-108.9668,Wyoming,1980-042937,6402,"Ogden, P R, Jr",,,,,,,,,
Steam-122-2,56.62,11.65,4.5,6.03,1.33,2.96,12.57,41.9669,-108.9668,Wyoming,1980-042937,6403,"Ogden, P R, Jr",,,,,,,,,
Steam-123,57.55,10.65,4.1,5.94,1.13,2.66,12.8,41.9669,-108.9668,Wyoming,1980-042937,6404,"Ogden, P R, Jr",,,,,,,,,
Steam-125,57.99,10.72,4.06,5.73,1.25,2.92,12.29,41.9669,-108.9668,Wyoming,1980-042937,6405,"Ogden, P R, Jr",,,,,,,,,
Steam-126,65.01,1.5,4.51,6.36,1.97,3.82,11.34,41.9669,-108.9668,Wyoming,1980-042937,6406,"Ogden, P R, Jr",,,,,,,,,
Steam-128,57.74,10.81,4.09,5.88,1.26,2.62,12.6,41.9669,-108.9668,Wyoming,1980-042937,6407,"Ogden, P R, Jr",,,,,,,,,
Steam-129,57.85,11.2,4.15,5.91,0.83,2.8,12.44,41.9669,-108.9668,Wyoming,1980-042937,6408,"Ogden, P R, Jr",,,,,,,,,
Steam-137,58.93,10.62,4.16,5.73,1.25,2.92,12.91,41.9669,-108.9668,Wyoming,1980-042937,6409,"Ogden, P R, Jr",,,,,,,,,
Steam-138,58.3,10.49,4.24,5.94,1.17,2.97,13.14,41.9669,-108.9668,Wyoming,1980-042937,6410,"Ogden, P R, Jr",,,,,,,,,
Steam-139,58.27,10.42,4.25,5.95,1.38,2.98,13.08,41.9669,-108.9668,Wyoming,1980-042937,6411,"Ogden, P R, Jr",,,,,,,,,
Steam-140,59.39,10.72,4.2,5.47,0.95,2.73,13.24,41.9669,-108.9668,Wyoming,1980-042937,6412,"Ogden, P R, Jr",,,,,,,,,
TR-1,50.88,8.9,5.86,9.44,1.95,11.28,6.62,41.8094,-109.1212,Wyoming,1980-042937,6413,"Ogden, P R, Jr",,,,,,,,,
WD,56.02,10.13,5.82,10.23,0.65,3.88,10.77,41.9119,-109.0035,Wyoming,1980-042937,6414,"Ogden, P R, Jr",,,,,,,,,
Z-1,54.88,10.65,4.91,6.14,1.33,4.2,12.39,41.7939,-108.9218,Wyoming,1980-042937,6415,"Ogden, P R, Jr",,,,,,,,,
Z-22,53,10.06,5.03,7.65,1.47,6.08,11.21,41.7939,-108.9218,Wyoming,1980-042937,6416,"Ogden, P R, Jr",,,,,,,,,
Z-27,53.61,10.47,5.18,7.3,1.16,5.82,10.89,41.7939,-108.9218,Wyoming,1980-042937,6417,"Ogden, P R, Jr",,,,,,,,,
Z-42,55.63,11.21,4.82,6.29,1.26,4.5,12.05,41.7939,-108.9218,Wyoming,1980-042937,6418,"Ogden, P R, Jr",,,,,,,,,
Z-43,55.58,10.46,5.06,5.83,1.65,3.96,13.54,41.7939,-108.9218,Wyoming,1980-042937,6419,"Ogden, P R, Jr",,,,,,,,,
Z-101,54.3,10.5,5.25,7.39,1.5,5.68,11.25,41.7939,-108.9218,Wyoming,1980-042937,6420,"Ogden, P R, Jr",,,,,,,,,
Z-106,55.78,10.42,4.77,6.19,1.09,5.75,11.29,41.7939,-108.9218,Wyoming,1980-042937,6421,"Ogden, P R, Jr",,,,,,,,,
Z-125,55.34,10.63,4.96,6.81,1.55,3.82,12.39,41.7939,-108.9218,Wyoming,1980-042937,6423,"Ogden, P R, Jr",,,,,,,,,
PB-34,47.94,15.98,12,5.73,4.1,8.54,1.81,35.1667,-115.8167,California,1986-024128,11800,"Semken, Steven Christian",,,,,,,,,
MB-39,62.12,16.44,5.91,2.44,4.32,4.85,2.65,48.762,-121.763,washington,2003-046396,75241,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
PWD-592,46.85,14.57,14.99,7.29,2.49,9.85,0.56,43.53,-112.9,Idaho,2005-006849,56834,Scarberry-Kaleb-C,,,,,,,,,
C1A-548,46.63,14.89,14.79,7.39,2.5,9.59,0.79,43.51,-113.03,Idaho,2005-006849,56829,Scarberry-Kaleb-C,,,,,,,,,
BR-21,48.06,18.55,9.97,5.82,3.75,10.58,1,35.9264,-117.8225,California,1999-027978,38821,Groves-Kristelle-Renee,,,,,,,,,
BR-23 L,48.22,17.69,10.35,6.32,3.7,10.32,1.07,35.8272,-117.7864,California,1999-027978,38824,Groves-Kristelle-Renee,,,,,,,,,
W-186981,69.05,16.33,3.3,0.89,5.01,3,1.8,46.2,-122.18,Washington,1981-005370,6576,Hoblitt-R-P, Crandell-D-R, Mullineaux-D-R,,,,,,,
M-140488,65.41,17.56,4.33,1.6,4.47,4.26,1.55,46.2,-122.18,Washington,1981-005370,6578,Hoblitt-R-P, Crandell-D-R, Mullineaux-D-R,,,,,,,
W-186983,58.04,17.43,6.51,4.11,4.51,6.61,1.1,46.2,-122.18,Washington,1981-005370,6579,Hoblitt-R-P, Crandell-D-R, Mullineaux-D-R,,,,,,,
M-140497,57.61,17.59,7.07,3.96,4.16,6.91,1.28,46.2,-122.18,Washington,1981-005370,6580,Hoblitt-R-P, Crandell-D-R, Mullineaux-D-R,,,,,,,
M-140490,57.4,18.24,7.28,3.73,3.95,6.96,1.16,46.2,-122.18,Washington,1981-005370,6581,Hoblitt-R-P, Crandell-D-R, Mullineaux-D-R,,,,,,,
BR-1,47.26,17.95,11.88,5.59,3.91,9.21,1.35,35.9461,-117.8153,California,1999-027978,38807,Groves-Kristelle-Renee,,,,,,,,,
BR-1L,48.39,17.28,11.8,5.55,3.78,9.07,1.3,35.9461,-117.8153,California,1999-027978,38808,Groves-Kristelle-Renee,,,,,,,,,
BR-2c,47.59,17.07,12.24,5.69,3.86,9.29,1.31,35.9425,-117.8136,California,1999-027978,38809,Groves-Kristelle-Renee,,,,,,,,,
BR-3,47.65,18.32,9.78,7.15,3.08,11.21,0.73,35.9367,-117.8167,California,1999-027978,38810,Groves-Kristelle-Renee,,,,,,,,,
BR-7b,48.24,17.73,10.64,6.06,3.53,10.32,1,35.9242,-117.8197,California,1999-027978,38811,Groves-Kristelle-Renee,,,,,,,,,
BR-8,46.91,16.96,12.36,6.01,3.77,9.47,1.44,35.9303,-117.8072,California,1999-027978,38812,Groves-Kristelle-Renee,,,,,,,,,
BR-12,47.88,16.95,11.9,5.68,3.77,9.61,1.31,35.9431,-117.8181,California,1999-027978,38814,Groves-Kristelle-Renee,,,,,,,,,
VP-2,49.24,16.7,11.11,5.65,4.05,9.12,1.45,35.9603,-117.8328,California,1999-027978,38826,Groves-Kristelle-Renee,,,,,,,,,
BR-14,48.65,17.29,11.15,5.62,3.78,9.47,1.32,35.9414,-117.8133,California,1999-027978,38815,Groves-Kristelle-Renee,,,,,,,,,
BR-15,48.07,17.37,10.07,7.4,3.2,10.99,0.81,35.9386,-117.8156,California,1999-027978,38816,Groves-Kristelle-Renee,,,,,,,,,
BR-16,48.21,18.32,9.92,6.11,3.55,10.69,0.94,35.9336,-117.8153,California,1999-027978,38817,Groves-Kristelle-Renee,,,,,,,,,
BR-16 L,48.34,18.67,9.69,5.95,3.59,10.67,0.92,35.9336,-117.8153,California,1999-027978,38818,Groves-Kristelle-Renee,,,,,,,,,
BR-17,47.6,18.28,10.44,6.09,3.78,10.45,1.01,35.9314,-117.8156,California,1999-027978,38819,Groves-Kristelle-Renee,,,,,,,,,
BR-18,47.78,17.63,10.66,6.14,3.65,10.6,1.04,35.9303,-117.8158,California,1999-027978,38820,Groves-Kristelle-Renee,,,,,,,,,
