Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,Lat,Long,State,Georef ,Navdat Sample Number ,Authors,,,,,,,,,
85-48c,53.52,16.7,7.87,8.3,2.91,9.31,0.45,41.3685,-122.68948,CALIFORNIA,2002-020902,130056,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
95-15,51.03,15.57,8.2,10.67,2.74,9.96,0.76,41.3475,-122.68913,CALIFORNIA,2002-020902,130057,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
95-17,51.27,16.99,8.61,8.41,3.02,10.3,0.22,41.31867,-122.68864,CALIFORNIA,2002-020902,130058,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
97-2,52.1,15.94,7.77,9.4,3.02,9.82,0.86,41.319168,-122.68865,CALIFORNIA,2002-020902,130059,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
82-94a,52.45,15.28,7.84,10.16,3.01,9.6,0.58,41.479332,-122.69132,CALIFORNIA,2002-020902,130060,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
82-94d,61.51,17.91,4.92,3.18,3.92,6.5,1.04,41.479332,-122.69132,CALIFORNIA,2002-020902,130061,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
85-44,51.44,15.92,8.74,10.7,2.22,9.7,0.41,41.4775,-122.69129,CALIFORNIA,2002-020902,130062,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
85-41b,57.5,14.58,6.28,8.82,3.16,8.08,0.72,41.566833,-122.69278,CALIFORNIA,2002-020902,130063,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
85-38,49.41,17.04,9.63,9.65,2.12,10.67,0.3,41.559,-122.69265,CALIFORNIA,2002-020902,130064,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
85-51,48.54,17.28,10.15,9.18,2.55,10.76,0.21,41.391167,-122.68985,CALIFORNIA,2002-020902,130065,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
MC37,47.35,16.8,11.53,6.03,4.45,8.3,2.17,35.257,-115.7478,California,1986-021700,11772,Turrin-Brent-D, Dohrenwend-John-C, Drake-Robert-E, Curtis-Garniss-H,,,,,,
MB-253,59.22,17.8,6.2,3.43,4.05,6.49,1.56,48.77,-121.891,washington,2003-046396,75204,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
MB-264,57.72,18.67,6.24,3.7,3.87,7.51,1.06,48.736,-121.805,washington,2003-046396,75208,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
MB-429,56.54,19.1,6.99,3.33,3.92,7.64,1.22,48.778,-121.858,washington,2003-046396,75219,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
HR-1,46.04,14.07,17.2,4.3,3.03,7.62,1.56,43.408333,-113.30083,Idaho,1986-014534,11575,"Kuntz, Mel A; Elsheimer, H Neil; Espos, Laureano F; Klock, Paul R",,,,,,,,,
H72.60D,60.04,17.47,3.66,5.33,3.03,7.53,1.67,39.052193,-122.63538,CALIFORNIA,2007-064006,130362,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
MC21,46.59,15.83,10.88,8.31,4.06,9.4,1.78,35.2232,-115.7808,California,1986-021700,11765,Turrin-Brent-D, Dohrenwend-John-C, Drake-Robert-E, Curtis-Garniss-H,,,,,,
H75.42,55.04,16.93,7.41,6.69,3.04,8.62,0.81,38.922367,-122.65675,CALIFORNIA,2007-064006,130358,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
FG73-76,57.39,17.28,7.34,5.04,2.67,7.82,1.23,39.039604,-122.66759,CALIFORNIA,2007-064006,130359,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
FG74-76,57.75,17.32,6.97,4.86,2.84,7.29,1.72,39.043556,-122.63397,CALIFORNIA,2007-064006,130360,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H72.71B-1,57.49,16.81,6.31,6.34,2.82,7.95,1.21,38.989845,-122.76617,CALIFORNIA,2007-064006,130361,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
