Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
SOM6,56.6,19.54,7.34,1.58,1.9,0.25,4.21,0.64,0.04,0.15,6.09,Los Sombreros Fm,Ordovician,Abre et al 2012,465,Abre et al 2012,,,N,N
20418,59.68,18.97,6.97,1.86,1.74,0.16,4,1.13,0.05,0.07,4.08,Los Sombreros Fm,Ordovician,Abre et al 2012,465,Abre et al 2012,,,N,N
SOM8,56.61,18.18,9.09,2.39,1.99,0.39,3.52,0.59,0.08,0.17,6.87,Los Sombreros Fm,Ordovician,Abre et al 2012,465,Abre et al 2012,,,N,N
LRAT1,63.6,15.39,7.09,2.28,2.78,0.43,2.76,1.11,0.07,0.2,3.59,Los Sombreros Fm,Ordovician,Abre et al 2012,465,Abre et al 2012,,,N,N
SOM7,66.41,11.08,6.03,1.8,0.64,2.25,1.38,0.27,0.04,1.38,6.59,Los Sombreros Fm,Ordovician,Abre et al 2012,465,Abre et al 2012,,,N,N
PDT3,51.02,20.2,10.02,3.59,1.59,0.89,4.98,1.16,0.11,0.16,5.59,Prtezuelo del Tontal Fm,Ordovician,Abre et al 2012,462.85,Abre et al 2012,,,N,N
20433,56.62,18.55,8.26,2.86,1.89,0.78,4.74,1.12,0.1,0.18,5.32,Sierra de la Invernada Fm,Ordovician,Abre et al 2012,462.85,Abre et al 2012,,,N,N
20431,56.53,18.36,7.67,2.76,1.46,0.88,4.57,1.06,0.07,0.17,5.85,Sierra de la Invernada Fm,Ordovician,Abre et al 2012,462.85,Abre et al 2012,,,N,N
20421,57.77,18.2,8.34,2.98,1.45,0.33,4.42,0.94,0.06,0.13,4.43,Sierra de la Invernada Fm,Ordovician,Abre et al 2012,462.85,Abre et al 2012,,,N,N
20423,61.42,16.04,6.62,2.29,2.04,0.93,3.53,1.07,0.06,0.2,4.53,Sierra de la Invernada Fm,Ordovician,Abre et al 2012,462.85,Abre et al 2012,,,N,N
20464,69.59,12.05,5.97,2.01,2.54,0.38,2.22,0.84,0.07,0.17,2.43,Prtezuelo del Tontal Fm,Ordovician,Abre et al 2012,462.85,Abre et al 2012,,,N,N
20409,56.95,19.37,8.24,4.22,2.4,0.73,4.34,1.13,0.09,0.17,5.02,Los Azules Fm,Ordovician,Abre et al 2012,462,Abre et al 2012,,,N,N
PLANT2,62.02,16.08,6.58,2.47,1.14,0.35,3.51,1.11,0.04,0.13,5.32,Las Plantas Fm,Ordovician,Abre et al 2012,462,Abre et al 2012,,,N,N
20412,62.38,14.81,6.75,2.29,1.68,0.57,3.23,1.09,0.02,0.18,5.68,Los Azules Fm,Ordovician,Abre et al 2012,462,Abre et al 2012,,,N,N
20406,73.41,13.15,0.76,1.05,1.1,0.04,3.14,0.71,0.01,0.04,5.96,Los Azules Fm,Ordovician,Abre et al 2012,462,Abre et al 2012,,,N,N
20413,62.93,14.59,6.6,2.08,2.49,0.29,3.12,1.12,0.07,0.18,5.58,Los Azules Fm,Ordovician,Abre et al 2012,462,Abre et al 2012,,,N,N
20407,65.7,14.02,5.07,1.25,1.35,0.12,3.02,0.81,0.04,0.14,6.81,Los Azules Fm,Ordovician,Abre et al 2012,462,Abre et al 2012,,,N,N
20414,67.84,13.24,5.53,1.58,1.69,0.48,2.98,0.99,0.05,0.15,5.52,Los Azules Fm,Ordovician,Abre et al 2012,462,Abre et al 2012,,,N,N
YL449,60.24,19.66,8.26,2.95,0.97,0.2,4.86,0.91,0.07,0,3.1,Yerba Loca Fm,Ordovician,Abre et al 2012,455,Abre et al 2012,,,N,N
YL451,56.27,18.59,9.27,2.81,2.23,0.3,4.56,0.96,0.14,0.17,4.45,Yerba Loca Fm,Ordovician,Abre et al 2012,455,Abre et al 2012,,,N,N
