"SiO2","Al2O3","Fe2O3","MgO","Na2O","CaO","K2O"
0.683174916442814,0.0997798834835329,0.0561534272028215,0.0266072025607332,0.00903931302466361,0.099858160811376,0.0253870964740584
0.722092538067188,0.104491564257669,0.0137885418003347,0.0132701882186158,0.0123090764233365,0.104509734642713,0.0295383565901437
0.719923106108448,0.0985013012593318,0.024493221876527,0.0247479169692526,0.0109092278482036,0.0983828296262198,0.0230423963120176
0.750737152835654,0.0869907416562896,0.0245336534301325,0.0196059917282517,0.0110016533242427,0.0869640390205867,0.0201667680048433
0.732294265729267,0.0934073481482793,0.0251362269136431,0.0185211059439287,0.015753410334516,0.0933352641234168,0.0215523788069492
0.726187340401516,0.0977742263477221,0.024363344960824,0.0156792921501419,0.0128862297081835,0.097700597280737,0.0254089691508756
0.683537231113996,0.114102608464454,0.0231559256351861,0.0174302360336329,0.0173504770405115,0.114060079630709,0.0303634420815098
0.726366695897752,0.0978647815856964,0.0243195447465734,0.0159112942857457,0.0102890163540077,0.0977965988607477,0.0274520682694772
0.702042268965552,0.108838052569051,0.0227913870141711,0.00916378379258457,0.0173344410394135,0.108849254043445,0.0309808125757826
0.687375288307801,0.114166676043051,0.0250302273631899,0.00991290552496909,0.0146779732978655,0.114116694755609,0.0347202347075141
0.686138263812887,0.117879909672382,0.0154931912120903,0.00906865450542828,0.0214339261773232,0.117900408201263,0.032085646418627
0.561551581371259,0.104484381084969,0.0498608532792676,0.123734935197609,0.00127058275730597,0.104408347200877,0.0546893191087132
0.610091473963941,0.129130132022898,0.0360472374960204,0.03905788640172,0.0011925376602044,0.129198804675623,0.055281927779592
0.595564267553018,0.133458777184259,0.0345633348011155,0.0478462232181974,0.00105123283955135,0.133433398756869,0.0540827656469898
0.581173239995247,0.137330631660287,0.0424098415681438,0.0455578346794357,0.00103285742096181,0.1373803699405,0.0551152247354247
0.376737264711265,0.13963931437306,0.259913907754661,0.0404557589557356,0.000638595869803046,0.139530165642791,0.0430849926926844
0.764969952282917,0.0936445892205713,0.00754167477903157,0.0109846215323083,0.000496095827656211,0.0935471856381877,0.0288158807193277
0.933394399012546,0.023061345943771,0.0122561875241167,0.00216839246081509,0.000195861177259059,0.0229729468783077,0.00595086700318465
0.711765511445341,0.111899996735161,0.0204238421118343,0.010579132220235,0.00130870943912647,0.111778321153246,0.0322444868950558
0.685590118840674,0.123915927039932,0.0149816608928014,0.0105427937266004,0.00888797773616209,0.123886126976809,0.0321953947870211
